location,population,total_cases,infection_rate
Colombia,51874028,"   6,383,141",12.30508068507808956000
Canada,38454328,"   4,716,205",12.26443223764045493100
Vietnam,98186856,"  11,624,000",11.83865180488109324900
Albania,2842318,"     334,090",11.75413869946993967600
United Arab Emirates,9441138,"   1,067,030",11.30192144209734038400
Cape Verde,593162,"      64,470",10.86886887561913945900
Paraguay,6780745,"     735,939",10.85336493261433662500
Belarus,9534956,"     994,037",10.42518706955753125700
Cuba,11212198,"   1,115,103",9.94544513038389083000
Bolivia,12224114,"   1,209,431",9.89381316306441513900
Antigua and Barbuda,93772,"       9,106",9.71078786844687113400
Tunisia,12356116,"   1,153,361",9.33433289231017254900
Bahamas,409989,"      38,084",9.28902970567503030600
Saint Vincent and the Grenadines,103959,"       9,644",9.27673409709597052700
Guyana,808727,"      73,388",9.07450845588189834100
Oman,4576300,"     399,449",8.72864541223258964700
Iran,88550568,"   7,622,127",8.60765455507863032600
Azerbaijan,10358078,"     833,955",8.05125236554503644400
Bhutan,782457,"      62,697",8.01283648813928433100
Kazakhstan,19397998,"   1,502,857",7.74748507552171105500
Samoa,222390,"      16,778",7.54440397499887584900
Libya,6812344,"     507,269",7.44632097263438252700
Fiji,929769,"      69,047",7.42625318761972059700
Guatemala,17843914,"   1,271,070",7.12326903167096635900
China,1425887360,"  99,317,967",6.96534451360870468800
South Africa,59893884,"   4,072,533",6.79958073849410066600
Namibia,2567024,"     172,123",6.70515741185123317900
Thailand,71697024,"   4,758,125",6.63643305473878525300
Eswatini,1201680,"      75,094",6.24908461487251181700
Mexico,127504120,"   7,692,809",6.03338072526597571900
Dominican Republic,11228821,"     667,074",5.94073055399137629900
Ecuador,18001002,"   1,069,139",5.93933048838059125800
Iraq,44496124,"   2,465,545",5.54103319201465727700
Jamaica,2827382,"     156,463",5.53384721272187486500
Honduras,10432858,"     474,590",4.54899319055238746700
Kiribati,131237,"       5,085",3.87466949107340155600
Vanuatu,326744,"      12,019",3.67841490585902113000
Philippines,115559008,"   4,173,631",3.61168815156322560300
Solomon Islands,724272,"      25,954",3.58346035743477588500
Morocco,37457976,"   1,277,342",3.41006679058153062000
Nepal,30547586,"   1,003,450",3.28487494887484726300
El Salvador,6336393,"     201,809",3.18491924348758039500
India,1417173120,"  45,001,245",3.17542326797730964600
Sri Lanka,21832150,"     672,598",3.08076849966677583300
Laos,7529477,"     218,891",2.90712090627277299600
Sao Tome and Principe,227393,"       6,601",2.90290378331786818400
Indonesia,275501344,"   6,813,429",2.47310190980411333300
Saudi Arabia,36408824,"     841,469",2.31116775427846831900
Gabon,2388997,"      48,992",2.05073509929062280100
Venezuela,28301700,"     552,695",1.95286855559913362100
Timor,1341298,"      23,460",1.74905203765307933100
Zambia,20017670,"     349,287",1.74489338669285686100
Zimbabwe,16320539,"     265,821",1.62875135435171595700
Lesotho,2305826,"      35,836",1.55415022642645195300
Djibouti,1120851,"      15,690",1.39982923689232556300
Mauritania,4736146,"      63,774",1.34653788122241164000
Kyrgyzstan,6630621,"      88,908",1.34086988232323940700
Bangladesh,171186368,"   2,045,923",1.19514364601742120000
Myanmar,54179312,"     641,341",1.18373780752328490300
Comoros,836783,"       9,109",1.08857374014529453900
Equatorial Guinea,1674916,"      17,130",1.02273785670445562600
Rwanda,13776702,"     133,194",0.96680613400797955900
Cambodia,16767851,"     138,943",0.82862735361854062300
Mozambique,32969520,"     233,654",0.70869700256479317900
Pakistan,235824864,"   1,580,631",0.67025629663884805600
Kenya,54027484,"     344,070",0.63684253740188974900
Algeria,44903228,"     271,945",0.60562461121948738300
Afghanistan,41128772,"     227,454",0.55302891124490660700
Senegal,17316452,"      89,022",0.51408914482019757900
Ghana,33475870,"     171,653",0.51276635976899181400
Uzbekistan,34627648,"     174,575",0.50414917005047527300
Gambia,2705995,"      12,626",0.46659361898303581500
Egypt,110990096,"     516,023",0.46492706880801328400
Papua New Guinea,10142625,"      46,864",0.46205001170801444400
Guinea-Bissau,2105580,"       9,614",0.45659628225951994200
Cameroon,27914542,"     125,090",0.44811768718970922000
Togo,8848700,"      39,524",0.44666448178828528500
Malawi,20405318,"      88,986",0.43609219910221443300
Congo,5970430,"      25,196",0.42201315483139405400
Burundi,12889583,"      54,366",0.42178245797400893400
Ethiopia,123379928,"     501,060",0.40611143815872546100
Uganda,47249588,"     171,871",0.36375131990568891300
Cote d'Ivoire,28160548,"      88,338",0.31369417953088128800
Angola,35588996,"     105,976",0.29777743659866100200
Haiti,11585003,"      34,427",0.29716867574397693300
Guinea,13859349,"      38,563",0.27824539233408437900
Eritrea,3684041,"      10,189",0.27657129765928229400
Central African Republic,5579148,"      15,367",0.27543632110135812900
Syria,22125242,"      57,423",0.25953614428262524800
Nicaragua,6948395,"      16,058",0.23110372971024243700
Madagascar,29611718,"      68,354",0.23083429336994226400
Benin,13352864,"      28,036",0.20996244700762323300
Tajikistan,9952789,"      17,786",0.17870367793389370600
South Sudan,10913172,"      18,368",0.16831036842450572600
Somalia,17597508,"      27,334",0.15532881132942232500
Liberia,5302690,"       8,090",0.15256407596898932400
Mali,22593598,"      33,159",0.14676281307651840100
Sudan,46874200,"      63,993",0.13652072995379121100
Nigeria,218541216,"     267,146",0.12224055713133764200
Democratic Republic of Congo,99010216,"      99,181",0.10017249129120170800
Burkina Faso,22673764,"      22,056",0.09727542370115522100
Sierra Leone,8605723,"       7,766",0.09024227249703482200
Tanzania,65497752,"      43,078",0.06577019620459645700
Chad,17723312,"       7,698",0.04343431972534253200
Niger,26207982,"       9,515",0.03630573311596444200
Yemen,33696612,"      11,945",0.03544866765833906400
