continent,total_cases,total_deaths,vaccination_rate
South America,54736925626,1277696479,67.65974076265812306400
North America,93061331592,1427276408,63.51355666500640485500
Europe,167541245571,1786178203,62.55485999880640315800
Asia,169911194193,1344702615,62.15208145335935311900
Oceania,7542261653,15076514,40.07152386047023743300
Africa,11028861006,236208587,2.53524143331013358800
